Datetime,Tweet Id,Text,Username
2022-05-31 21:28:04+00:00,1531749378381209601,"Next Up, The Most Underrated #MCU Film! Even Tho Ultron Should Have Been More Devious, Evil, And Gruesome! This Film Was Still Pretty Good. 🤷🏾‍♂️ 
@Avengers @MarvelStudios 
#Avengers #AgeOfUltron 
#MarvelStudios #DisneyPlus 
#JustACoolGeek 🤓 #MrMoon 🤫 https://t.co/E18wj5dklZ",MaZekMoon
2022-05-31 21:25:33+00:00,1531748743262916608,"Movie time w my princess. Chip ‘N Dale: Rescue Rangers on @disneyplus 
😎🎥🤮
#ChipNDaleRescueRangers #DisneyPlus #MovieTime #DaddyDaughterTime #CinemaPuke https://t.co/GFt9l5pdW2",CinemaPuke1
2022-05-31 21:25:23+00:00,1531748701537939456,"So if I liked John Boyega as Fin but don’t like Ingram as #Reva, does that mean I’m a racist? Intersectionally, Ingram is much more oppressed so yes? I’m simply seeking understanding. #StarWars #DisneyPlus #ObiWan",joefusdonaldson
2022-05-31 21:23:20+00:00,1531748186926239745,"PR peeps… it really just boils down to this right?! 😜

✨: @disneyplus

#disneyplus #hulu #glee #shortweek #meme #prmeme #pr #publicrelations https://t.co/1zr4NNakuV",publicistco
2022-05-31 21:19:53+00:00,1531747315882631169,"HOLLYWOOD STARGIRL REVIEW: Killer vocals, charming sequel make for a fun, lighthearted family watch
 #Hollywoodstargirl @disneyplus #disneyplus 

https://t.co/TAWDYeFXbC https://t.co/TGpObqbgWP",whiskynsunshine
2022-05-31 21:15:33+00:00,1531746225501876224,"Quick 15 min sketch amphibia OC

#amphibia #amphibiafanart #disneyworld #disney #disneyplus #amphibians https://t.co/PvCgmQcTMV",AmationYon
2022-05-31 21:15:14+00:00,1531746146510684160,"1.24🍓 The poster was from the @SolRealtyNFT  #space expansion #conference. 

#Agent2802 #stavrosnft #solrealty #SolanaNFT #MagicEden #web3 #Metaverse #Binance #F1 #DisneyPlus #Marvel #Giveaway  #Twitter #ETH #success #Solana #NFTs https://t.co/bk94rwZR5Q",Nftartc0llect0r
2022-05-31 21:13:16+00:00,1531745653344247808,Have you finished #MoonKnight from #DisneyPlus? You are in luck our review is out so you can listen now! https://t.co/91oN3e7pFD https://t.co/xCYLaCz5el,The602Club
2022-05-31 21:12:26+00:00,1531745440613400579,Mail call from @POPnBeards. 🚚📦 New addition to the Star Wars collection. “Funko Pop! Star Wars: Sebulba #304 (Smuggler’s Bounty Exclusive)” figure! #StarWars #Funko #WildForToys #OriginalFunko #Disney #Collectible #FunkoPop  #DisneyPlus https://t.co/5nmI2IDzfR,wildfortoys
2022-05-31 21:11:41+00:00,1531745252612009984,"Griffin Mathews se une al Cast de 'SHE-HULK ATTORNEY AT LAW'!!

#SheHulk #SheHulkAttorneyAtLaw 💚
#Marvel|#MarvelStudios|#DisneyPlus https://t.co/xfpk0gAsII",MrWoku
2022-05-31 21:11:15+00:00,1531745145548427264,@people People need to stop attacking actors based on the characters they play. It’s a show for crying out loud. Fans are so toxic for no reason. Actors are human to  @obiwankenobi #DisneyPlus #StarWars #ObiWan,Loveamira_
2022-05-31 21:10:40+00:00,1531744998420627456,Mail call from @POPnBeards. 🚚📦 New addition to the Star Wars collection. “Funko Pop! Star Wars: AT-AT Driver #92 (Walgreens Exclusive)” figure! #StarWars #Funko #WildForToys #OriginalFunko #Disney #Collectible  #DisneyPlus https://t.co/BOxoHjvyQe,wildfortoys
2022-05-31 21:10:30+00:00,1531744955055628289,People need to stop attacking actors based on the characters they play. It’s a show for crying out loud. Fans are so toxic for no reason. Actors are human to  @obiwankenobi #DisneyPlus #StarWars #ObiWan,Loveamira_
2022-05-31 21:09:34+00:00,1531744718920380416,"In celebration of Asian American Native Hawaiian Pacific Islander Heritage Month, we partnered with artists on pieces inspired by stories on #DisneyPlus:

🌊 Moana, @alohademele
🍁 #TurningRed, @rachelhofs

#HonorAPIVoices (2/2) https://t.co/sm6JvHvQ25",disneyplus
2022-05-31 21:09:32+00:00,1531744710867333120,"In celebration of Asian American Native Hawaiian Pacific Islander Heritage Month, we partnered with artists on pieces inspired by stories on #DisneyPlus:

🐉 Raya and the Last Dragon, @madaoba
💥 #ShangChi and the Legend of the Ten Rings, @awkwardbutable 

#HonorAPIVoices (1/2) https://t.co/HOxyFpkBVC",disneyplus
2022-05-31 21:08:32+00:00,1531744459452469248,Looooove @obiwankenobi #DisneyPlus #ObiWan,Jessif28
2022-05-31 21:08:17+00:00,1531744399029424129,"#Pinocchio #DisneyPlusDay #DisneyPlus 

PINOCCHIO Teaser Trailer Reaction! Disney+ https://t.co/Rt3HiOagKz",Omn1Media
2022-05-31 21:07:04+00:00,1531744089468768257,#TemueraMorrison Never Wore Physical Clone Trooper Armor Before #ObiWanKenobi by @IGN #ObiWan #StarWars #DisneyPlus https://t.co/gA7OdfsF3Z,SHIELDZephyrOne
2022-05-31 21:05:58+00:00,1531743812917272584,"#MsMarvel tells you How to Become a Super Hero⚡️

Just 1 Week To Go till the Series Premiere on #DisneyPlus, 
Watch “A Fan’s Guide To Ms.Marvel”⚡️❤️ Tonight #مسمارول https://t.co/m92LjObQcI",CineGeekNews
2022-05-31 21:03:03+00:00,1531743081636188164,Adrienne Warren To Star In “Black Cake” https://t.co/vLF0o6ExTu #disneyplus,disneyplusnews
2022-05-31 21:01:38+00:00,1531742724642197504,If you are into British music at its best get your self on to #disneyplus #pistols the story telling of the Sex Pistols and their legendary beginnings 2 episodes in and it’s brilliant,fishfoot1
2022-05-31 21:00:09+00:00,1531742349113573380,"⚠️We should be getting the 2022 version of this graphic in the next week: The #DisneyPlus Summer campaign lineup.

With today's news about #DisneyPlusDay moving to September 8 we think it will cover June 1 - September 7 or 9.

What do you hope they bring? https://t.co/1OlO45WlWD",DejaView_News
2022-05-31 20:58:32+00:00,1531741942119378946,Mail call from @POPnBeards. 🚚📦 New addition to the Star Wars collection. “Funko Pop! Star Wars: Young Anakin Skywalker #231 (Walgreens Exclusive)” figure! #StarWars #Funko #WildForToys #OriginalFunko #Disney #Collectible #ObiWan #DisneyPlus https://t.co/0kcpB1xwxV,wildfortoys
2022-05-31 20:58:25+00:00,1531741915565150208,Pinocchio | Teaser Trailer | Disney+ REACTION! https://t.co/7Ci6Zmkl1Y via @YouTube #Pinocchio #RobertZemeckis #TomHanks #Disney #DisneyPlus #DisneyPinocchio #JiminyCricket #Geppetto #FilmTwitter #TrailerReaction #MarchioProductions #MarchioReacts https://t.co/wQgKLa6Tel,misterfilmstock
2022-05-31 20:57:33+00:00,1531741696861474816,"@vivienlyrablair did an excellent performance as #PrincessLeia 

#ObiWanKenobi #StarWars #DisneyPlus https://t.co/BDt7yBA14w",MarvelVulture
2022-05-31 20:53:07+00:00,1531740582590107648,#Movies #TV #DisneyPlus #MovieNews #Streaming Disney+ June 2022 Schedule: Movies and TV Title Release Dates https://t.co/ir9eOZsbik,WebPassSocial
2022-05-31 20:51:39+00:00,1531740210123382786,#kaçış june14 on #DisneyPlus  #Escape #EnginAkyürek https://t.co/CFwWFFYBEj,nancyhateme
2022-05-31 20:50:54+00:00,1531740023510425605,"absolutely agree! And another big + in the win column, is that all the characters are being elevated, having their moments. There isn't any character bias in the writing. No other goal, but to tell a great story! 

#StrangerThings4 #Netflix #disneyplus https://t.co/4Vl7seC1a6",Meanwhile_pod
2022-05-31 20:50:25+00:00,1531739902462808069,Crystal Yu To Star In ‘History Of A Pleasure Seeker’ Pilot https://t.co/haiiIwvRP0 #disneyplus,rogpalmeruk
2022-05-31 20:50:25+00:00,1531739901691105282,Disney+ Day 2022 Date Announced https://t.co/vCI3HKllC4 via @disneytap #disney #disneyplus,DisneyTap
2022-05-31 20:50:25+00:00,1531739899321274374,“Star Wars: Obi-Wan Kenobi” Becomes Most Watched Disney+ Original Premiere https://t.co/jVzkAyfBMe #disneyplus,rogpalmeruk
2022-05-31 20:50:24+00:00,1531739895441530881,FX’s The Bear – Trailer Released https://t.co/QCLO2WVZGM #disneyplus,rogpalmeruk
2022-05-31 20:50:13+00:00,1531739850059272192,"#ObiWanKenobi's #MosesIngram Calls Out Racist Abuse From #StarWars Fans; #Lucasfilm, #StarTrek Star Show Support #Reva #ThirdSister #ObiWan #DisneyPlus https://t.co/I8y07EB8lP",SHIELDZephyrOne
2022-05-31 20:49:55+00:00,1531739775329132544,@TheTrekCentral Jazzed for the spin-off… Young Leia #ObiWanKenobi #DisneyPlus https://t.co/LL4DvpdHKM,OccupyUniversal
2022-05-31 20:49:45+00:00,1531739734581686277,"Check out the official teaser trailer for Disney's live-action Pinocchio! #DisneyPlus #Pinocchio
https://t.co/bqtBoSu9jn https://t.co/n8Jc53P3Ue",ImperiusCNews
2022-05-31 20:47:51+00:00,1531739256841969664,#StrangerThings4 and #ObiWanKenobi Each Tout Premiere Viewership Records #StrangerThings #Netflix #ObiWan #DisneyPlus https://t.co/h1HwX05iGX,SHIELDZephyrOne
2022-05-31 20:47:24+00:00,1531739140831821827,"Who’s ready for more Mando?

#TheMandalorian #DisneyPlus #StarWars https://t.co/EBeD512VU2",FandomWire
2022-05-31 20:45:48+00:00,1531738738484826123,#Pinocchio: #CynthiaErivo Works Her Magic for #TomHanks' #Geppetto in #DisneyPlus Movie Trailer #Disney https://t.co/fyTMNrWH7y,SHIELDZephyrOne
